Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2,0.1307,0.006399360063993601,0.9798420157984201,"FLNA, GNAI2"
GO_Biological_Process,GOBP_ACTION_POTENTIAL,2,0.1253,0.0064993500649935,0.9798420157984201,"CD36, FLNA"
GO_Biological_Process,GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION,2,0.128,0.0064993500649935,0.9798420157984201,"FLNA, GNAI2"
GO_Biological_Process,GOBP_REGULATION_OF_ACTION_POTENTIAL,2,0.1253,0.0064993500649935,0.9798420157984201,"CD36, FLNA"
GO_Biological_Process,GOBP_MYELOID_CELL_DEVELOPMENT,3,0.4308,0.007599240075992401,1.0,"FLNA, GP1BB, SLC4A1"
GO_Biological_Process,GOBP_CELL_SUBSTRATE_ADHESION,5,1.4019,0.007999200079992,1.0,"CD36, FERMT3, FLNA, ITGA2B, VWF"
GO_Biological_Process,GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,2,0.1574,0.0084991500849915,1.0,"CD36, FLNA"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,2,0.1632,0.009499050094990502,1.0,"F2, FLNA"
GO_Biological_Process,GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND,4,0.8876,0.009599040095990401,1.0,"CD36, FLNA, GNAI2, PKLR"
GO_Biological_Process,GOBP_REGULATION_OF_PROTEIN_LOCALIZATION,4,0.935,0.0112988701129887,1.0,"CD36, F2, FLNA, STOM"
GO_Biological_Process,GOBP_MEGAKARYOCYTE_DIFFERENTIATION,2,0.163,0.011398860113988602,1.0,"FLNA, GP1BB"
GO_Biological_Process,GOBP_HOMOTYPIC_CELL_CELL_ADHESION,3,0.4845,0.011698830116988301,1.0,"COMP, FERMT3, FLNA"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_PLATELET_ACTIVATION,2,0.1659,0.011898810118988102,1.0,"FLNA, GP1BB"
GO_Biological_Process,GOBP_CELLULAR_HOMEOSTASIS,4,0.9663,0.0122987701229877,1.0,"F2, FLNA, GP1BB, SLC4A1"
GO_Biological_Process,GOBP_INORGANIC_ION_HOMEOSTASIS,3,0.5549,0.0136986301369863,1.0,"F2, FLNA, GP1BB"
GO_Biological_Process,GOBP_IMPORT_INTO_NUCLEUS,2,0.1941,0.013798620137986202,1.0,"CD36, FLNA"
GO_Biological_Process,GOBP_NUCLEAR_TRANSPORT,2,0.1941,0.013798620137986202,1.0,"CD36, FLNA"
GO_Biological_Process,GOBP_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS,2,0.1967,0.014598540145985401,1.0,"CD36, GNAI2"
GO_Biological_Process,GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE,3,0.609,0.0170982901709829,1.0,"CD36, F2, FLNA"
GO_Biological_Process,GOBP_NUTRIENT_STORAGE,2,0.2282,0.017698230176982303,1.0,"APOC4, CD36"
GO_Biological_Process,GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,3,0.5811,0.017798220177982202,1.0,"CD36, FLNA, STOM"
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,3,0.5848,0.018098190180981903,1.0,"CD36, FLNA, SLC4A1"
GO_Biological_Process,GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,2,0.231,0.018598140185981403,1.0,"F2, PTGDS"
GO_Biological_Process,GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2,0.2347,0.018698130186981302,1.0,"FLNA, GNAI2"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,2,0.233,0.0192980701929807,1.0,"F2, FLNA"
GO_Biological_Process,GOBP_CHOLESTEROL_IMPORT,2,0.2308,0.019498050194980503,1.0,"APOC3, CD36"
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,2,0.2341,0.0202979702029797,1.0,"APOC3, SLC4A1"
GO_Biological_Process,GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,2,0.234,0.020597940205979402,1.0,"APOC3, PTGDS"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,2,0.2576,0.023297670232976703,1.0,"CD36, FLNA"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,5,1.78,0.024697530246975304,1.0,"CD36, F2, FLNA, GNAI2, VWF"
GO_Biological_Process,GOBP_REGULATION_OF_CELLULAR_LOCALIZATION,3,0.6665,0.024697530246975304,1.0,"CD36, FLNA, STOM"
GO_Biological_Process,GOBP_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION,3,0.6655,0.024797520247975203,1.0,"F2, FLNA, GP1BB"
GO_Biological_Process,GOBP_PROTEIN_ACTIVATION_CASCADE,3,0.6655,0.024797520247975203,1.0,"F2, FLNA, GP1BB"
GO_Biological_Process,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN,2,0.2626,0.025097490250974904,1.0,"FERMT3, ITGA2B"
GO_Biological_Process,GOBP_REGULATED_EXOCYTOSIS,2,0.2595,0.025297470252974703,1.0,"GNAI2, PTGDS"
GO_Biological_Process,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,3,0.6842,0.025897410258974102,1.0,"FERMT3, FLNA, ITGA2B"
GO_Biological_Process,GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,2,0.2673,0.026097390260973904,1.0,"APOC3, CD36"
GO_Biological_Process,GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,2,0.2843,0.027697230276972302,1.0,"CD36, FLNA"
GO_Biological_Process,GOBP_LOCALIZATION_WITHIN_MEMBRANE,3,0.699,0.028997100289971003,1.0,"FLNA, SLC4A1, STOM"
GO_Biological_Process,GOBP_REGULATION_OF_TRANSPORT,6,2.5226,0.029097090290970903,1.0,"APOC3, CD36, F2, FLNA, GNAI2, STOM"
GO_Biological_Process,GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,2,0.2922,0.029697030296970302,1.0,"CD36, FLNA"
