Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Lactic acid,MIP-1β,20,39,0.02531848417709145,"[-0.28, 0.33]",0.8751432422724579,0.9226241480332628,False
Leuk,IL-12p70,20,39,0.12499999999999986,"[-0.19, 0.42]",0.4361566470231073,0.5679296819010217,False
Eryt,IL-12p70,20,39,0.10063092108532526,"[-0.21, 0.40]",0.5313032912665417,0.6666132877145801,False
Hb,IL-12p70,20,39,0.15191090506254976,"[-0.16, 0.44]",0.3430575071681934,0.49003591601607444,False
HKR,IL-12p70,20,39,0.0403786426543629,"[-0.27, 0.34]",0.8020801681614825,0.88408836490618,False
MCV,IL-12p70,20,39,-0.11677484162422794,"[-0.41, 0.20]",0.46716873103752454,0.6055383551864687,False
MCH,IL-12p70,20,39,-1.9061146585257684e-17,"[-0.31, 0.31]",1.0,1.0,False
Trom,IL-12p70,20,39,-0.12499999999999994,"[-0.42, 0.19]",0.4361566470231073,0.5679296819010217,False
Neutr,IL-12p70,20,39,0.22500000000000023,"[-0.09, 0.50]",0.15725665075562173,0.2908261072551693,False
Lymfos,IL-12p70,20,39,0.012578865135665555,"[-0.30, 0.32]",0.9377833563109993,0.9707265655490906,False
Monos,IL-12p70,20,39,0.0251577302713314,"[-0.28, 0.33]",0.8759298006814945,0.9226241480332628,False
Eosin,IL-12p70,20,39,0.06779076806833004,"[-0.24, 0.37]",0.6736572932449941,0.783569798984971,False
Basof,IL-12p70,20,39,-0.12480754415067657,"[-0.42, 0.19]",0.43686898607770897,0.5679296819010217,False
Lactic acid,IL-12p70,20,39,-0.025318484177092086,"[-0.33, 0.28]",0.8751432422724365,0.9226241480332628,False
Leuk,CRP,20,39,0.5249999999999999,"[0.26, 0.72]",0.0004248637356233877,0.0025038636152738313,True
Eryt,CRP,20,39,0.6541009870546157,"[0.43, 0.80]",3.5175749583702106e-06,5.9798774292293584e-05,True
Hb,CRP,20,39,0.5823251360731081,"[0.33, 0.75]",6.491749782308506e-05,0.0005626183144667371,True
HKR,CRP,20,39,0.6729773775727073,"[0.46, 0.81]",1.4319963978456658e-06,3.0140114659418302e-05,True
MCV,CRP,20,39,0.3113995776646097,"[0.00, 0.56]",0.04749595107591116,0.11996120214601562,False
MCH,CRP,20,39,0.07905694150420957,"[-0.23, 0.38]",0.6231952830196226,0.7505512672879378,False
Trom,CRP,20,39,0.7,"[0.50, 0.83]",3.5133020450177994e-07,9.70549689936167e-06,True
Neutr,CRP,20,39,0.07500000000000052,"[-0.24, 0.37]",0.6411866947841472,0.7517361249193527,False
Lymfos,CRP,20,39,0.6415221219189501,"[0.42, 0.79]",6.1898600305292184e-06,8.046818039687984e-05,True
Monos,CRP,20,39,0.6415221219189502,"[0.42, 0.79]",6.189860030529195e-06,8.046818039687984e-05,True
Eosin,CRP,20,39,0.5423261445466403,"[0.28, 0.73]",0.00024948927852279606,0.0016458844941354606,True
Basof,CRP,20,39,0.6240377207533827,"[0.39, 0.78]",1.3032684624050366e-05,0.00014401116509575655,True
Lactic acid,CRP,20,39,0.6076436202501998,"[0.37, 0.77]",2.5169188437059433e-05,0.00025871584393442486,True
Leuk,IFN-γ,20,39,0.2499999999999999,"[-0.06, 0.52]",0.11492787448834102,0.23409272130804945,False
Eryt,IFN-γ,20,39,0.3018927632559764,"[-0.01, 0.56]",0.055072798325710916,0.13675380258406866,False
Hb,IFN-γ,20,39,0.3544587784792831,"[0.05, 0.60]",0.02297544788577212,0.06861586463183296,False
HKR,IFN-γ,20,39,0.26919095102908336,"[-0.04, 0.53]",0.08876762105830656,0.1904625655717063,False
MCV,IFN-γ,20,39,-0.019462473604037477,"[-0.33, 0.29]",0.9038668552607364,0.9467041469792546,False
MCH,IFN-γ,20,39,-0.07905694150420967,"[-0.38, 0.23]",0.6231952830196226,0.7505512672879378,False
