Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Immunoglobulin kappa variable 1D-16,Concentration/ml,delta_time2_vs_time1,20,17,-0.05571455199129508,"[-0.50, 0.41]",0.8207796859079848,0.990774006958089,False
Immunoglobulin lambda variable 1-47,Concentration/ml,delta_time2_vs_time1,20,17,0.3699804523721257,"[-0.10, 0.71]",0.11896115392082537,0.9859192804439811,False
Fructose-bisphosphate aldolase A,Concentration/ml,delta_time2_vs_time1,20,17,-0.1333168074806391,"[-0.55, 0.34]",0.5863712799800074,0.9859192804439811,False
Thrombospondin-1,Concentration/ml,delta_time2_vs_time1,20,17,-0.059219316038580175,"[-0.50, 0.41]",0.8096965533912053,0.990774006958089,False
Aminopeptidase N,Concentration/ml,delta_time2_vs_time1,20,17,0.2536741940078513,"[-0.23, 0.63]",0.2946669314004374,0.9859192804439811,False
Apolipoprotein M,Concentration/ml,delta_time2_vs_time1,20,17,0.0661753654649331,"[-0.40, 0.51]",0.7878036944236668,0.990774006958089,False
Immunoglobulin heavy variable 3-43,Concentration/ml,delta_time2_vs_time1,20,17,0.2328474647884129,"[-0.25, 0.62]",0.33739303056161496,0.9859192804439811,False
Cysteine-rich secretory protein 3,Concentration/ml,delta_time2_vs_time1,20,17,-0.4743265912772401,"[-0.76, -0.03]",0.0401853084886094,0.9859192804439811,False
Complement component C8 alpha chain,Concentration/ml,delta_time2_vs_time1,20,17,-0.10385949358108076,"[-0.53, 0.37]",0.672203100891178,0.9859192804439811,False
Immunoglobulin heavy variable 2-70D,Concentration/ml,delta_time2_vs_time1,20,17,-0.07239042520545294,"[-0.51, 0.39]",0.768370495183157,0.990774006958089,False
Immunoglobulin heavy variable 3-23,Concentration/ml,delta_time2_vs_time1,20,17,-0.1404743875734752,"[-0.56, 0.34]",0.5662379113807744,0.9859192804439811,False
Plasma kallikrein,Concentration/ml,delta_time2_vs_time1,20,17,0.5282788594578465,"[0.10, 0.79]",0.0200661150413365,0.9859192804439811,False
Galectin-7,Concentration/ml,delta_time2_vs_time1,20,17,-0.012147552007914052,"[-0.46, 0.44]",0.9606350163105717,0.9926311476947687,False
Extracellular superoxide dismutase [Cu-Zn],Concentration/ml,delta_time2_vs_time1,20,17,-0.13683032282847737,"[-0.56, 0.34]",0.5764505272676856,0.9859192804439811,False
