Protein,Effect,N,p_value_raw,Partial_Eta_Squared,p_value_FDR
Immunoglobulin kappa variable 3D-15,Group,20,0.174,0.1,0.3196170212765957
Immunoglobulin kappa variable 3D-15,TimePoint,20,0.452,0.042,0.7539044585987261
Extracellular matrix protein 1,TimePoint:Group,20,0.347,0.056,0.8057777777777778
Extracellular matrix protein 1,Group,20,0.025,0.249,0.09119718309859155
Extracellular matrix protein 1,TimePoint,20,0.036,0.182,0.3453333333333333
Tubulin alpha-1B chain,TimePoint:Group,20,0.214,0.084,0.8057777777777778
Tubulin alpha-1B chain,Group,20,0.673,0.01,0.7834022471910114
Tubulin alpha-1B chain,TimePoint,20,0.755,0.011,0.888
Immunoglobulin lambda variable 5-45,TimePoint:Group,20,0.377,0.051,0.8057777777777778
Immunoglobulin lambda variable 5-45,Group,20,0.089,0.152,0.2072
Immunoglobulin lambda variable 5-45,TimePoint,20,0.873,0.006,0.9239428571428572
Alpha-2-HS-glycoprotein,TimePoint:Group,20,0.902,0.005,0.9588285714285715
Alpha-2-HS-glycoprotein,Group,20,0.096,0.146,0.21906607929515418
Alpha-2-HS-glycoprotein,TimePoint,20,0.087,0.131,0.4251509433962264
Cartilage acidic protein 1,TimePoint:Group,20,0.34,0.057,0.8057777777777778
Cartilage acidic protein 1,Group,20,0.076,0.165,0.18058715596330274
Cartilage acidic protein 1,TimePoint,20,0.49,0.036,0.7668277945619335
Coagulation factor IX,TimePoint:Group,20,0.87,0.007,0.9547881355932204
Coagulation factor IX,Group,20,0.57,0.018,0.7080575539568346
Coagulation factor IX,TimePoint,20,0.069,0.14,0.37231250000000005
Integrin alpha-2,TimePoint:Group,20,0.071,0.14,0.8057777777777778
Integrin alpha-2,Group,20,0.002,0.421,0.01786206896551724
Integrin alpha-2,TimePoint,20,0.711,0.018,0.8645492957746478
"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",TimePoint:Group,20,0.052,0.154,0.8057777777777778
"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",Group,20,0.026,0.247,0.09288275862068965
"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",TimePoint,20,0.098,0.122,0.43459322033898307
Endophilin-A3,TimePoint:Group,20,0.038,0.167,0.8057777777777778
Endophilin-A3,Group,20,0.143,0.115,0.2784736842105263
Endophilin-A3,TimePoint,20,0.534,0.034,0.7841944444444444
Collagen alpha-1(I) chain,TimePoint:Group,20,0.35,0.049,0.8057777777777778
Collagen alpha-1(I) chain,Group,20,0.445,0.033,0.589539641943734
Collagen alpha-1(I) chain,TimePoint,20,0.361,0.047,0.7129667896678967
Carboxypeptidase N subunit 2,TimePoint:Group,20,0.033,0.179,0.8057777777777778
Carboxypeptidase N subunit 2,Group,20,0.483,0.028,0.62678
Carboxypeptidase N subunit 2,TimePoint,20,0.844,0.008,0.9162125
Scavenger receptor cysteine-rich type 1 protein M130,TimePoint:Group,20,0.478,0.033,0.8268076923076922
Scavenger receptor cysteine-rich type 1 protein M130,Group,20,0.001,0.691,0.010791666666666668
Scavenger receptor cysteine-rich type 1 protein M130,TimePoint,20,0.434,0.038,0.7444105960264902
Annexin A5,TimePoint:Group,20,0.31,0.062,0.8057777777777778
Annexin A5,Group,20,0.052,0.194,0.14404278074866309
Annexin A5,TimePoint,20,0.733,0.013,0.8809605568445475
Platelet factor 4,TimePoint:Group,20,0.319,0.057,0.8057777777777778
Platelet factor 4,Group,20,0.134,0.12,0.27008560311284047
Platelet factor 4,TimePoint,20,0.244,0.075,0.6371399999999999
Immunoglobulin heavy variable 3-72,TimePoint:Group,20,0.197,0.087,0.8057777777777778
Immunoglobulin heavy variable 3-72,Group,20,0.944,0.001,0.966387351778656
Immunoglobulin heavy variable 3-72,TimePoint,20,0.787,0.012,0.8959692307692307
Protein HEG homolog 1,TimePoint:Group,20,0.918,0.004,0.9665121951219513
Protein HEG homolog 1,Group,20,0.022,0.259,0.0856842105263158
Protein HEG homolog 1,TimePoint,20,0.889,0.006,0.9321902834008098
Sulfhydryl oxidase 1,TimePoint:Group,20,0.422,0.045,0.8066273062730628
Sulfhydryl oxidase 1,Group,20,0.09,0.151,0.2072
Sulfhydryl oxidase 1,TimePoint,20,0.259,0.072,0.6537864077669904
Corticosteroid-binding globulin,TimePoint:Group,20,0.569,0.024,0.8499367816091954
Corticosteroid-binding globulin,Group,20,0.807,0.003,0.8763647798742138
Corticosteroid-binding globulin,TimePoint,20,0.114,0.125,0.4649763779527559
Angiopoietin-related protein 6,TimePoint:Group,20,0.566,0.024,0.8499367816091954
Angiopoietin-related protein 6,Group,20,0.001,0.475,0.010791666666666668
Angiopoietin-related protein 6,TimePoint,20,0.167,0.1,0.5507848101265823
72 kDa type IV collagenase,TimePoint:Group,20,0.01,0.227,0.8057777777777778
72 kDa type IV collagenase,Group,20,0.125,0.126,0.2610887096774194
72 kDa type IV collagenase,TimePoint,20,0.01,0.23,0.2072
Trypsin-3,TimePoint:Group,20,0.329,0.053,0.8057777777777778
Trypsin-3,Group,20,0.249,0.073,0.40817088607594937
Trypsin-3,TimePoint,20,0.311,0.057,0.6943879310344828
Complement component C9,TimePoint:Group,20,0.366,0.052,0.8057777777777778
Complement component C9,Group,20,0.878,0.001,0.9243983739837398
Complement component C9,TimePoint,20,0.015,0.232,0.2285294117647059
Pyruvate kinase PKM,TimePoint:Group,20,0.221,0.082,0.8057777777777778
Pyruvate kinase PKM,Group,20,0.372,0.045,0.5308076923076923
Pyruvate kinase PKM,TimePoint,20,0.284,0.066,0.6656651583710407
Immunoglobulin heavy variable 4-34,TimePoint:Group,20,0.331,0.06,0.8057777777777778
Immunoglobulin heavy variable 4-34,Group,20,0.086,0.155,0.20157466063348414
Immunoglobulin heavy variable 4-34,TimePoint,20,0.945,0.003,0.9579452054794519
Immunoglobulin kappa variable 6D-21,TimePoint:Group,20,0.205,0.085,0.8057777777777778
Immunoglobulin kappa variable 6D-21,Group,20,0.355,0.048,0.5150980392156863
Immunoglobulin kappa variable 6D-21,TimePoint,20,0.864,0.007,0.922422131147541
Immunoglobulin lambda-1 light chain,TimePoint:Group,20,0.484,0.038,0.8268076923076922
Immunoglobulin lambda-1 light chain,Group,20,0.037,0.22,0.11408333333333333
Immunoglobulin lambda-1 light chain,TimePoint,20,0.417,0.046,0.735
Transforming growth factor-beta-induced protein ig-h3,TimePoint:Group,20,0.323,0.06,0.8057777777777778
Transforming growth factor-beta-induced protein ig-h3,Group,20,0.014,0.293,0.06417699115044248
Transforming growth factor-beta-induced protein ig-h3,TimePoint,20,0.377,0.051,0.7179632352941178
Complement C1q subcomponent subunit A,TimePoint:Group,20,0.686,0.015,0.883950248756219
Complement C1q subcomponent subunit A,Group,20,0.04,0.214,0.11976878612716764
Complement C1q subcomponent subunit A,TimePoint,20,0.404,0.045,0.7323448275862069
Prolow-density lipoprotein receptor-related protein 1,TimePoint:Group,20,0.418,0.042,0.8057777777777778
Prolow-density lipoprotein receptor-related protein 1,Group,20,0.989,0.001,0.9947611650485436
Prolow-density lipoprotein receptor-related protein 1,TimePoint,20,0.166,0.1,0.5507848101265823
Immunoglobulin heavy constant mu,TimePoint:Group,20,0.902,0.004,0.9588285714285715
Immunoglobulin heavy constant mu,Group,20,0.62,0.014,0.7498321678321678
Immunoglobulin heavy constant mu,TimePoint,20,0.965,0.001,0.970621359223301
UV-stimulated scaffold protein A,TimePoint:Group,20,0.807,0.008,0.9351812080536913
UV-stimulated scaffold protein A,Group,20,0.04,0.213,0.11976878612716764
UV-stimulated scaffold protein A,TimePoint,20,0.884,0.004,0.9288275862068965
Complement component C6,TimePoint:Group,20,0.959,0.002,0.9769744597249508
Complement component C6,Group,20,0.661,0.011,0.7746561085972852
Complement component C6,TimePoint,20,0.27,0.07,0.6622831050228312
Angiotensinogen,TimePoint:Group,20,0.347,0.057,0.8057777777777778
Angiotensinogen,Group,20,0.001,0.465,0.010791666666666668
Angiotensinogen,TimePoint,20,0.373,0.053,0.7129667896678967
Pregnancy zone protein,TimePoint:Group,20,0.415,0.043,0.8057777777777778
Pregnancy zone protein,Group,20,0.025,0.249,0.09119718309859155
Pregnancy zone protein,TimePoint,20,0.418,0.042,0.735
Histone H2A type 1-B/E;Histone H2A type 3;Histone H2A type 1-C,TimePoint:Group,20,0.404,0.044,0.8057777777777778
Histone H2A type 1-B/E;Histone H2A type 3;Histone H2A type 1-C,Group,20,0.09,0.152,0.2072
Histone H2A type 1-B/E;Histone H2A type 3;Histone H2A type 1-C,TimePoint,20,0.629,0.019,0.8199497487437186
Desmocollin-1,TimePoint:Group,20,0.476,0.038,0.8268076923076922
Desmocollin-1,Group,20,0.541,0.021,0.6818442822384428
Desmocollin-1,TimePoint,20,0.586,0.026,0.8048923076923076
Protein Z-dependent protease inhibitor,TimePoint:Group,20,0.902,0.004,0.9588285714285715
Protein Z-dependent protease inhibitor,Group,20,0.579,0.017,0.7158042959427207
Protein Z-dependent protease inhibitor,TimePoint,20,0.041,0.173,0.3453333333333333
Immunoglobulin kappa variable 1-17,TimePoint:Group,20,0.413,0.047,0.8057777777777778
Immunoglobulin kappa variable 1-17,Group,20,0.031,0.233,0.10427272727272727
Immunoglobulin kappa variable 1-17,TimePoint,20,0.818,0.01,0.9034626865671641
Fibronectin,TimePoint:Group,20,0.619,0.018,0.8665999999999999
Fibronectin,Group,20,0.174,0.1,0.3196170212765957
Fibronectin,TimePoint,20,0.178,0.097,0.5656687116564417
Probable non-functional immunoglobulin heavy variable 3-38,TimePoint:Group,20,0.59,0.025,0.8633333333333333
Probable non-functional immunoglobulin heavy variable 3-38,Group,20,0.023,0.255,0.08760294117647059
Probable non-functional immunoglobulin heavy variable 3-38,TimePoint,20,0.344,0.056,0.7035826771653543
Nucleoside diphosphate kinase 3,TimePoint:Group,20,0.498,0.034,0.8268076923076922
Nucleoside diphosphate kinase 3,Group,20,0.015,0.289,0.06698275862068966
Nucleoside diphosphate kinase 3,TimePoint,20,0.234,0.078,0.6280414507772022
Plasma protease C1 inhibitor,TimePoint:Group,20,0.691,0.02,0.8859851485148514
Plasma protease C1 inhibitor,Group,20,0.621,0.014,0.7498321678321678
Plasma protease C1 inhibitor,TimePoint,20,0.103,0.119,0.44094214876033055
Immunoglobulin kappa variable 1-16,TimePoint:Group,20,0.606,0.027,0.8656793478260869
Immunoglobulin kappa variable 1-16,Group,20,0.872,0.001,0.9199511201629328
Immunoglobulin kappa variable 1-16,TimePoint,20,0.337,0.058,0.7035826771653543
F-actin-capping protein subunit alpha-1,TimePoint:Group,20,0.22,0.082,0.8057777777777778
F-actin-capping protein subunit alpha-1,Group,20,0.777,0.005,0.8625970149253732
F-actin-capping protein subunit alpha-1,TimePoint,20,0.392,0.049,0.7323448275862069
Cathepsin D,TimePoint:Group,20,0.325,0.057,0.8057777777777778
Cathepsin D,Group,20,0.109,0.136,0.2412905982905983
Cathepsin D,TimePoint,20,0.339,0.054,0.7035826771653543
Anthrax toxin receptor 2,TimePoint:Group,20,0.188,0.092,0.8057777777777778
Anthrax toxin receptor 2,Group,20,0.001,0.459,0.010791666666666668
Anthrax toxin receptor 2,TimePoint,20,0.099,0.13,0.43459322033898307
Talin-1,TimePoint:Group,20,0.61,0.024,0.8656793478260869
Talin-1,Group,20,0.024,0.251,0.0894388489208633
Talin-1,TimePoint,20,0.052,0.163,0.3493488372093023
Protein disulfide-isomerase,TimePoint:Group,20,0.363,0.052,0.8057777777777778
Protein disulfide-isomerase,Group,20,0.868,0.002,0.9186571428571428
Protein disulfide-isomerase,TimePoint,20,0.841,0.006,0.9162125
Junction plakoglobin,TimePoint:Group,20,0.841,0.008,0.9461084598698482
Junction plakoglobin,Group,20,0.057,0.186,0.1521958762886598
Junction plakoglobin,TimePoint,20,0.825,0.009,0.9092553191489362
Tenascin,TimePoint:Group,20,0.263,0.071,0.8057777777777778
Tenascin,Group,20,0.009,0.326,0.047090909090909086
Tenascin,TimePoint,20,0.125,0.116,0.4729565217391304
Cadherin-related family member 5,TimePoint:Group,20,0.473,0.038,0.8268076923076922
Cadherin-related family member 5,Group,20,0.108,0.137,0.2401030042918455
Cadherin-related family member 5,TimePoint,20,0.777,0.011,0.8945198237885462
Kininogen-1,TimePoint:Group,20,0.427,0.045,0.8102051282051282
Kininogen-1,Group,20,0.544,0.021,0.6839611650485438
Kininogen-1,TimePoint,20,0.041,0.166,0.3453333333333333
Alpha-1-antichymotrypsin,TimePoint:Group,20,0.138,0.105,0.8057777777777778
Alpha-1-antichymotrypsin,Group,20,0.548,0.02,0.6873220338983052
Alpha-1-antichymotrypsin,TimePoint,20,0.099,0.121,0.43459322033898307
Integrin alpha-IIb,TimePoint:Group,20,0.317,0.062,0.8057777777777778
Integrin alpha-IIb,Group,20,0.004,0.384,0.0259
Integrin alpha-IIb,TimePoint,20,0.001,0.494,0.0518
Serum amyloid P-component,TimePoint:Group,20,0.855,0.007,0.9463461538461538
Serum amyloid P-component,Group,20,0.222,0.082,0.3782763157894737
Serum amyloid P-component,TimePoint,20,0.128,0.111,0.4770071942446043
Inter-alpha-trypsin inhibitor heavy chain H1,TimePoint:Group,20,0.77,0.011,0.916279176201373
Inter-alpha-trypsin inhibitor heavy chain H1,Group,20,0.906,0.001,0.9423855421686748
Inter-alpha-trypsin inhibitor heavy chain H1,TimePoint,20,0.408,0.046,0.7323448275862069
Probable non-functional immunoglobulin heavy variable 3-35,TimePoint:Group,20,0.815,0.007,0.9423437499999999
Probable non-functional immunoglobulin heavy variable 3-35,Group,20,0.781,0.004,0.8625970149253732
Probable non-functional immunoglobulin heavy variable 3-35,TimePoint,20,0.912,0.003,0.9420996015936256
Immunoglobulin kappa variable 1-5,TimePoint:Group,20,0.987,0.001,0.9927495145631068
Immunoglobulin kappa variable 1-5,Group,20,0.052,0.194,0.14404278074866309
Immunoglobulin kappa variable 1-5,TimePoint,20,0.393,0.048,0.7323448275862069
Band 3 anion transport protein,TimePoint:Group,20,0.321,0.056,0.8057777777777778
Band 3 anion transport protein,Group,20,0.298,0.06,0.45669822485207096
Band 3 anion transport protein,TimePoint,20,0.081,0.156,0.4073592233009709
Immunoglobulin lambda variable 7-43,TimePoint:Group,20,0.58,0.023,0.8549943181818181
Immunoglobulin lambda variable 7-43,Group,20,0.168,0.103,0.3108
Immunoglobulin lambda variable 7-43,TimePoint,20,0.278,0.067,0.6622831050228312
Peroxiredoxin-1,TimePoint:Group,20,0.35,0.056,0.8057777777777778
Peroxiredoxin-1,Group,20,0.035,0.224,0.11054878048780489
Peroxiredoxin-1,TimePoint,20,0.769,0.013,0.8945198237885462
Matrix metalloproteinase-9,TimePoint:Group,20,0.744,0.012,0.9067990762124711
Matrix metalloproteinase-9,Group,20,0.017,0.276,0.074
Matrix metalloproteinase-9,TimePoint,20,0.16,0.101,0.5488741721854306
Multimerin-2,TimePoint:Group,20,0.069,0.139,0.8057777777777778
Multimerin-2,Group,20,0.001,0.528,0.010791666666666668
Multimerin-2,TimePoint,20,0.017,0.204,0.23800000000000002
Immunoglobulin heavy variable 1-3,TimePoint:Group,20,0.788,0.009,0.9214085778781039
Immunoglobulin heavy variable 1-3,Group,20,0.018,0.273,0.07642622950819672
Immunoglobulin heavy variable 1-3,TimePoint,20,0.75,0.011,0.886986301369863
Podocalyxin,TimePoint:Group,20,0.685,0.021,0.883950248756219
Podocalyxin,Group,20,0.517,0.024,0.658
Podocalyxin,TimePoint,20,0.006,0.247,0.1554
Immunoglobulin lambda variable 1-51,TimePoint:Group,20,0.056,0.161,0.8057777777777778
Immunoglobulin lambda variable 1-51,Group,20,0.238,0.076,0.3951410256410256
Immunoglobulin lambda variable 1-51,TimePoint,20,0.394,0.048,0.7323448275862069
Cadherin-13,TimePoint:Group,20,0.54,0.033,0.8499367816091954
Cadherin-13,Group,20,0.066,0.175,0.1659611650485437
Cadherin-13,TimePoint,20,0.49,0.038,0.7668277945619335
Plastin-2,TimePoint:Group,20,0.61,0.023,0.8656793478260869
Plastin-2,Group,20,0.008,0.328,0.04455913978494624
Plastin-2,TimePoint,20,0.366,0.052,0.7129667896678967
Inter-alpha-trypsin inhibitor heavy chain H4,TimePoint:Group,20,0.878,0.005,0.9565588235294117
Inter-alpha-trypsin inhibitor heavy chain H4,Group,20,0.214,0.085,0.36705960264900667
Inter-alpha-trypsin inhibitor heavy chain H4,TimePoint,20,0.24,0.077,0.6342857142857142
Fructose-bisphosphate aldolase B,TimePoint:Group,20,0.398,0.041,0.8057777777777778
Fructose-bisphosphate aldolase B,Group,20,0.278,0.065,0.43530722891566265
Fructose-bisphosphate aldolase B,TimePoint,20,0.416,0.039,0.735
Mannan-binding lectin serine protease 2,TimePoint:Group,20,0.756,0.009,0.9067990762124711
Mannan-binding lectin serine protease 2,Group,20,0.005,0.363,0.03083333333333333
Mannan-binding lectin serine protease 2,TimePoint,20,0.324,0.058,0.7035826771653543
Platelet glycoprotein 4,TimePoint:Group,20,0.401,0.047,0.8057777777777778
Platelet glycoprotein 4,Group,20,0.009,0.322,0.047090909090909086
Platelet glycoprotein 4,TimePoint,20,0.001,0.53,0.0518
Hemoglobin subunit alpha,TimePoint:Group,20,0.823,0.01,0.9461084598698482
Hemoglobin subunit alpha,Group,20,0.625,0.014,0.7506203703703703
Hemoglobin subunit alpha,TimePoint,20,0.102,0.12,0.44094214876033055
Immunoglobulin lambda variable 3-10,TimePoint:Group,20,0.239,0.077,0.8057777777777778
Immunoglobulin lambda variable 3-10,Group,20,0.927,0.001,0.95275
Immunoglobulin lambda variable 3-10,TimePoint,20,0.325,0.059,0.7035826771653543
Serum paraoxonase/lactonase 3,TimePoint:Group,20,0.457,0.04,0.8268076923076922
Serum paraoxonase/lactonase 3,Group,20,0.358,0.047,0.518
Serum paraoxonase/lactonase 3,TimePoint,20,0.396,0.048,0.7323448275862069
Dopamine beta-hydroxylase,TimePoint:Group,20,0.614,0.025,0.8656793478260869
Dopamine beta-hydroxylase,Group,20,0.279,0.065,0.43530722891566265
Dopamine beta-hydroxylase,TimePoint,20,0.216,0.082,0.6066417112299465
Triosephosphate isomerase,TimePoint:Group,20,0.525,0.031,0.8451578947368422
Triosephosphate isomerase,Group,20,0.283,0.064,0.4389041916167664
Triosephosphate isomerase,TimePoint,20,0.654,0.019,0.8344137931034483
Endoplasmic reticulum chaperone BiP,TimePoint:Group,20,0.658,0.023,0.8762056555269923
Endoplasmic reticulum chaperone BiP,Group,20,0.751,0.006,0.8456913043478261
Endoplasmic reticulum chaperone BiP,TimePoint,20,0.804,0.012,0.8978666666666667
Suprabasin,TimePoint:Group,20,0.529,0.032,0.845746913580247
Suprabasin,Group,20,0.747,0.006,0.8430196078431372
Suprabasin,TimePoint,20,0.42,0.045,0.735
Immunoglobulin kappa variable 3-20,TimePoint:Group,20,0.368,0.054,0.8057777777777778
Immunoglobulin kappa variable 3-20,Group,20,0.258,0.07,0.41633644859813085
Immunoglobulin kappa variable 3-20,TimePoint,20,0.574,0.03,0.8048923076923076
Ficolin-1,TimePoint:Group,20,0.658,0.021,0.8762056555269923
Ficolin-1,Group,20,0.655,0.011,0.7728701594533031
Ficolin-1,TimePoint,20,0.304,0.064,0.683939393939394
Autotaxin,TimePoint:Group,20,0.209,0.085,0.8057777777777778
Autotaxin,Group,20,0.594,0.016,0.7239811764705881
Autotaxin,TimePoint,20,0.116,0.12,0.46579844961240313
Histidine ammonia-lyase,TimePoint:Group,20,0.224,0.081,0.8057777777777778
Histidine ammonia-lyase,Group,20,0.12,0.129,0.2537142857142857
Histidine ammonia-lyase,TimePoint,20,0.464,0.038,0.7582082018927445
Noelin,TimePoint:Group,20,0.17,0.095,0.8057777777777778
Noelin,Group,20,0.027,0.245,0.09514285714285714
Noelin,TimePoint,20,0.654,0.021,0.8344137931034483
Prenylcysteine oxidase 1,TimePoint:Group,20,0.346,0.053,0.8057777777777778
Prenylcysteine oxidase 1,Group,20,0.022,0.259,0.0856842105263158
Prenylcysteine oxidase 1,TimePoint,20,0.666,0.015,0.8370579710144929
Immunoglobulin delta heavy chain,TimePoint:Group,20,0.177,0.097,0.8057777777777778
Immunoglobulin delta heavy chain,Group,20,0.111,0.135,0.2426075949367089
Immunoglobulin delta heavy chain,TimePoint,20,0.316,0.059,0.7017350427350427
Antithrombin-III,TimePoint:Group,20,0.42,0.044,0.8057777777777778
Antithrombin-III,Group,20,0.904,0.001,0.9421971830985916
Antithrombin-III,TimePoint,20,0.004,0.298,0.1295
Complement component C7,TimePoint:Group,20,0.879,0.006,0.9565588235294117
Complement component C7,Group,20,0.318,0.055,0.4774608695652174
Complement component C7,TimePoint,20,0.052,0.156,0.3493488372093023
BOS complex subunit NOMO3;BOS complex subunit NOMO1;BOS complex subunit NOMO2,TimePoint:Group,20,0.379,0.049,0.8057777777777778
BOS complex subunit NOMO3;BOS complex subunit NOMO1;BOS complex subunit NOMO2,Group,20,0.016,0.284,0.07083760683760684
BOS complex subunit NOMO3;BOS complex subunit NOMO1;BOS complex subunit NOMO2,TimePoint,20,0.433,0.041,0.7444105960264902
Cofilin-1,TimePoint:Group,20,0.333,0.055,0.8057777777777778
Cofilin-1,Group,20,0.386,0.042,0.5432682926829269
Cofilin-1,TimePoint,20,0.237,0.077,0.6295692307692307
Histone H4,TimePoint:Group,20,0.958,0.001,0.9769744597249508
Histone H4,Group,20,0.004,0.376,0.0259
Histone H4,TimePoint,20,0.912,0.003,0.9420996015936256
Serum amyloid A-1 protein,TimePoint:Group,20,0.27,0.068,0.8057777777777778
Serum amyloid A-1 protein,Group,20,0.008,0.329,0.04455913978494624
Serum amyloid A-1 protein,TimePoint,20,0.259,0.071,0.6537864077669904
Transferrin receptor protein 1,TimePoint:Group,20,0.569,0.028,0.8499367816091954
Transferrin receptor protein 1,Group,20,0.005,0.361,0.03083333333333333
Transferrin receptor protein 1,TimePoint,20,0.611,0.024,0.8087142857142856
Serpin B12,TimePoint:Group,20,0.783,0.013,0.9214085778781039
Serpin B12,Group,20,0.947,0.001,0.9675463510848126
Serpin B12,TimePoint,20,0.849,0.009,0.9162125
Immunoglobulin kappa variable 3D-20,TimePoint:Group,20,0.788,0.013,0.9214085778781039
Immunoglobulin kappa variable 3D-20,Group,20,0.003,0.406,0.02252173913043478
Immunoglobulin kappa variable 3D-20,TimePoint,20,0.459,0.042,0.7540506329113924
Probable non-functional immunoglobulin heavy variable 3-16,TimePoint:Group,20,0.842,0.006,0.9461084598698482
Probable non-functional immunoglobulin heavy variable 3-16,Group,20,0.035,0.224,0.11054878048780489
Probable non-functional immunoglobulin heavy variable 3-16,TimePoint,20,0.784,0.009,0.8945198237885462
Immunoglobulin lambda variable 6-57,TimePoint:Group,20,0.416,0.042,0.8057777777777778
Immunoglobulin lambda variable 6-57,Group,20,0.008,0.332,0.04455913978494624
Immunoglobulin lambda variable 6-57,TimePoint,20,0.322,0.058,0.7035826771653543
Fibrinogen alpha chain,TimePoint:Group,20,0.198,0.087,0.8057777777777778
Fibrinogen alpha chain,Group,20,0.414,0.037,0.5628661417322834
Fibrinogen alpha chain,TimePoint,20,0.001,0.408,0.0518
Galectin-3-binding protein,TimePoint:Group,20,0.207,0.085,0.8057777777777778
Galectin-3-binding protein,Group,20,0.132,0.121,0.27008560311284047
Galectin-3-binding protein,TimePoint,20,0.54,0.03,0.7841944444444444
Macrophage colony-stimulating factor 1 receptor,TimePoint:Group,20,0.636,0.023,0.8710578947368421
Macrophage colony-stimulating factor 1 receptor,Group,20,0.014,0.291,0.06417699115044248
Macrophage colony-stimulating factor 1 receptor,TimePoint,20,0.093,0.128,0.43459322033898307
Phosphatidylinositol-glycan-specific phospholipase D,TimePoint:Group,20,0.128,0.11,0.8057777777777778
Phosphatidylinositol-glycan-specific phospholipase D,Group,20,0.281,0.064,0.4371111111111111
Phosphatidylinositol-glycan-specific phospholipase D,TimePoint,20,0.034,0.176,0.33869230769230774
Serotransferrin,TimePoint:Group,20,0.445,0.043,0.8268076923076922
Serotransferrin,Group,20,0.753,0.006,0.8461041214750542
Serotransferrin,TimePoint,20,0.044,0.165,0.3453333333333333
Integrin alpha-11,TimePoint:Group,20,0.706,0.019,0.8941515892420537
Integrin alpha-11,Group,20,0.006,0.35,0.03572413793103448
Integrin alpha-11,TimePoint,20,0.036,0.171,0.3453333333333333
Proprotein convertase subtilisin/kexin type 9,TimePoint:Group,20,0.174,0.095,0.8057777777777778
Proprotein convertase subtilisin/kexin type 9,Group,20,0.315,0.056,0.4757142857142857
Proprotein convertase subtilisin/kexin type 9,TimePoint,20,0.006,0.274,0.1554
Gelsolin,TimePoint:Group,20,0.231,0.079,0.8057777777777778
Gelsolin,Group,20,0.019,0.27,0.078736
Gelsolin,TimePoint,20,0.003,0.295,0.111
Proteoglycan 4,TimePoint:Group,20,0.337,0.054,0.8057777777777778
Proteoglycan 4,Group,20,0.623,0.014,0.7504976744186046
Proteoglycan 4,TimePoint,20,0.172,0.099,0.5531728395061728
Vascular cell adhesion protein 1,TimePoint:Group,20,0.226,0.079,0.8057777777777778
Vascular cell adhesion protein 1,Group,20,0.002,0.408,0.01786206896551724
Vascular cell adhesion protein 1,TimePoint,20,0.216,0.082,0.6066417112299465
Adhesion G protein-coupled receptor F5,TimePoint:Group,20,0.293,0.066,0.8057777777777778
Adhesion G protein-coupled receptor F5,Group,20,0.001,0.465,0.010791666666666668
Adhesion G protein-coupled receptor F5,TimePoint,20,0.25,0.074,0.6442786069651741
Insulin-like growth factor-binding protein 3,TimePoint:Group,20,0.222,0.082,0.8057777777777778
Insulin-like growth factor-binding protein 3,Group,20,0.21,0.086,0.3613953488372093
Insulin-like growth factor-binding protein 3,TimePoint,20,0.654,0.013,0.8344137931034483
Transthyretin,TimePoint:Group,20,0.169,0.094,0.8057777777777778
Transthyretin,Group,20,0.568,0.018,0.7072692307692308
Transthyretin,TimePoint,20,0.126,0.109,0.4729565217391304
Coiled-coil domain-containing protein 126,TimePoint:Group,20,0.975,0.001,0.9883561643835616
Coiled-coil domain-containing protein 126,Group,20,0.733,0.007,0.8308402625820569
Coiled-coil domain-containing protein 126,TimePoint,20,0.41,0.043,0.7323448275862069
Guanine nucleotide-binding protein G(i) subunit alpha-2,TimePoint:Group,20,0.31,0.063,0.8057777777777778
Guanine nucleotide-binding protein G(i) subunit alpha-2,Group,20,0.66,0.011,0.7746561085972852
Guanine nucleotide-binding protein G(i) subunit alpha-2,TimePoint,20,0.001,0.478,0.0518
Apolipoprotein C-I,TimePoint:Group,20,0.172,0.095,0.8057777777777778
Apolipoprotein C-I,Group,20,0.909,0.001,0.9429461077844312
Apolipoprotein C-I,TimePoint,20,0.044,0.167,0.3453333333333333
Syntenin-1,TimePoint:Group,20,0.559,0.03,0.8499367816091954
Syntenin-1,Group,20,0.001,0.533,0.010791666666666668
Syntenin-1,TimePoint,20,0.936,0.003,0.9525500982318271
Phospholipid transfer protein,TimePoint:Group,20,0.706,0.017,0.8941515892420537
Phospholipid transfer protein,Group,20,0.138,0.118,0.2727348484848485
Phospholipid transfer protein,TimePoint,20,0.694,0.018,0.8510874704491724
Laminin subunit beta-1,TimePoint:Group,20,0.887,0.005,0.9588285714285715
Laminin subunit beta-1,Group,20,0.001,0.688,0.010791666666666668
Laminin subunit beta-1,TimePoint,20,0.398,0.048,0.7323448275862069
Proline-rich protein 4,TimePoint:Group,20,0.557,0.03,0.8499367816091954
Proline-rich protein 4,Group,20,0.07,0.171,0.1686511627906977
Proline-rich protein 4,TimePoint,20,0.524,0.033,0.7777421203438396
Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,TimePoint:Group,20,0.357,0.048,0.8057777777777778
Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,Group,20,0.83,0.003,0.8901449275362319
