Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Immunoglobulin heavy variable 3-72,Median Value (nm),delta_time3_vs_time1,20,17,-0.6621228117468093,"[-0.86, -0.30]",0.002012314218826801,0.7990209843716011,False
Protein HEG homolog 1,Median Value (nm),delta_time3_vs_time1,20,17,0.11789949260604177,"[-0.36, 0.54]",0.6307258459659939,0.9603557517202558,False
Sulfhydryl oxidase 1,Median Value (nm),delta_time3_vs_time1,20,17,0.22244900260432568,"[-0.26, 0.61]",0.3600087193083106,0.9029774864553766,False
Corticosteroid-binding globulin,Median Value (nm),delta_time3_vs_time1,20,17,0.2801810608181945,"[-0.20, 0.65]",0.24530646463693237,0.8471249912128732,False
Angiopoietin-related protein 6,Median Value (nm),delta_time3_vs_time1,20,17,-0.14184145550719257,"[-0.56, 0.33]",0.5624271285527775,0.9414294875902138,False
72 kDa type IV collagenase,Median Value (nm),delta_time3_vs_time1,20,17,0.19528979129283003,"[-0.28, 0.60]",0.42300576955505687,0.9149023054699762,False
Trypsin-3,Median Value (nm),delta_time3_vs_time1,20,17,-0.3854465202654096,"[-0.71, 0.08]",0.10315343405357484,0.7990209843716011,False
Complement component C9,Median Value (nm),delta_time3_vs_time1,20,17,0.32882778490094705,"[-0.15, 0.68]",0.16925346723153567,0.7990209843716011,False
Pyruvate kinase PKM,Median Value (nm),delta_time3_vs_time1,20,17,-0.07824854116317131,"[-0.51, 0.39]",0.7501734882609765,0.986431991854413,False
Immunoglobulin heavy variable 4-34,Median Value (nm),delta_time3_vs_time1,20,17,-0.3782896182160813,"[-0.71, 0.09]",0.11026777422238959,0.7990209843716011,False
Immunoglobulin kappa variable 6D-21,Median Value (nm),delta_time3_vs_time1,20,17,-0.16877291200039535,"[-0.58, 0.31]",0.4897535571144833,0.9224230187144302,False
Immunoglobulin lambda-1 light chain,Median Value (nm),delta_time3_vs_time1,20,17,0.1132743229892152,"[-0.36, 0.54]",0.6442806614499677,0.9603557517202558,False
Transforming growth factor-beta-induced protein ig-h3,Median Value (nm),delta_time3_vs_time1,20,17,0.055401560972302186,"[-0.41, 0.50]",0.8217710742100157,0.986431991854413,False
Complement C1q subcomponent subunit A,Median Value (nm),delta_time3_vs_time1,20,17,-0.2337674073045959,"[-0.62, 0.25]",0.3354331182329461,0.9029774864553766,False
Prolow-density lipoprotein receptor-related protein 1,Median Value (nm),delta_time3_vs_time1,20,17,-0.4245418512814529,"[-0.74, 0.04]",0.0700294652540976,0.7990209843716011,False
Immunoglobulin heavy constant mu,Median Value (nm),delta_time3_vs_time1,20,17,-0.3358518698681629,"[-0.69, 0.14]",0.15978762822585799,0.7990209843716011,False
UV-stimulated scaffold protein A,Median Value (nm),delta_time3_vs_time1,20,17,0.3425628324458627,"[-0.13, 0.69]",0.15108954487365409,0.7990209843716011,False
Complement component C6,Median Value (nm),delta_time3_vs_time1,20,17,0.05814282157157987,"[-0.41, 0.50]",0.8130971691145421,0.986431991854413,False
Angiotensinogen,Median Value (nm),delta_time3_vs_time1,20,17,0.3256614816294056,"[-0.15, 0.68]",0.17364278311696646,0.7990209843716011,False
Pregnancy zone protein,Median Value (nm),delta_time3_vs_time1,20,17,0.11824249505014583,"[-0.36, 0.54]",0.6297250368574976,0.9603557517202558,False
Histone H2A type 1-B/E;Histone H2A type 3;Histone H2A type 1-C,Median Value (nm),delta_time3_vs_time1,20,17,0.13434074794726514,"[-0.34, 0.55]",0.5834726672895418,0.9414294875902138,False
Desmocollin-1,Median Value (nm),delta_time3_vs_time1,20,17,0.07380453618738947,"[-0.39, 0.51]",0.7639668352079256,0.986431991854413,False
Protein Z-dependent protease inhibitor,Median Value (nm),delta_time3_vs_time1,20,17,0.38715459633291543,"[-0.08, 0.72]",0.10150569530974249,0.7990209843716011,False
Immunoglobulin kappa variable 1-17,Median Value (nm),delta_time3_vs_time1,20,17,-0.08875954892688218,"[-0.52, 0.38]",0.7178434221155252,0.9759380347236947,False
Fibronectin,Median Value (nm),delta_time3_vs_time1,20,17,0.008036805333352121,"[-0.45, 0.46]",0.9739507735638178,0.9942380848352581,False
Probable non-functional immunoglobulin heavy variable 3-38,Median Value (nm),delta_time3_vs_time1,20,17,-0.027935727094300745,"[-0.48, 0.43]",0.909615359436196,0.9881825993475701,False
Nucleoside diphosphate kinase 3,Median Value (nm),delta_time3_vs_time1,20,17,0.28553155558167154,"[-0.19, 0.65]",0.23602624985332687,0.83164479806808,False
Plasma protease C1 inhibitor,Median Value (nm),delta_time3_vs_time1,20,17,0.43901049133436193,"[-0.02, 0.74]",0.060045416624311836,0.7990209843716011,False
Immunoglobulin kappa variable 1-16,Median Value (nm),delta_time3_vs_time1,20,17,-0.2260346022646337,"[-0.62, 0.25]",0.3521147761316844,0.9029774864553766,False
F-actin-capping protein subunit alpha-1,Median Value (nm),delta_time3_vs_time1,20,17,-0.07876292361096526,"[-0.51, 0.39]",0.7485815332189758,0.986431991854413,False
Cathepsin D,Median Value (nm),delta_time3_vs_time1,20,17,-0.20752254412908996,"[-0.60, 0.27]",0.39393843507500204,0.908148715266278,False
Anthrax toxin receptor 2,Median Value (nm),delta_time3_vs_time1,20,17,0.15533427750571532,"[-0.32, 0.57]",0.525433320262249,0.9354607701894984,False
Talin-1,Median Value (nm),delta_time3_vs_time1,20,17,0.0453400024322023,"[-0.42, 0.49]",0.8537707357962419,0.986431991854413,False
Protein disulfide-isomerase,Median Value (nm),delta_time3_vs_time1,20,17,-0.12423561577806896,"[-0.55, 0.35]",0.6123392726039045,0.9495106715392508,False
Junction plakoglobin,Median Value (nm),delta_time3_vs_time1,20,17,0.02613420020842541,"[-0.43, 0.47]",0.915423536562707,0.9881825993475701,False
Tenascin,Median Value (nm),delta_time3_vs_time1,20,17,0.06898257911127259,"[-0.40, 0.51]",0.7790105242470268,0.986431991854413,False
Cadherin-related family member 5,Median Value (nm),delta_time3_vs_time1,20,17,-0.20766959214689465,"[-0.60, 0.27]",0.39359586216268394,0.908148715266278,False
Kininogen-1,Median Value (nm),delta_time3_vs_time1,20,17,0.33526405722019537,"[-0.14, 0.69]",0.1605655202454182,0.7990209843716011,False
Alpha-1-antichymotrypsin,Median Value (nm),delta_time3_vs_time1,20,17,0.30113951917957565,"[-0.18, 0.66]",0.21025844564881727,0.8217152190523659,False
Integrin alpha-IIb,Median Value (nm),delta_time3_vs_time1,20,17,-0.18161643291882987,"[-0.59, 0.30]",0.4568003291426812,0.9224230187144302,False
Serum amyloid P-component,Median Value (nm),delta_time3_vs_time1,20,17,-0.1966120276972613,"[-0.60, 0.28]",0.4198101154326105,0.9149023054699762,False
Inter-alpha-trypsin inhibitor heavy chain H1,Median Value (nm),delta_time3_vs_time1,20,17,0.18036951861341163,"[-0.30, 0.59]",0.45994901931002485,0.9224230187144302,False
Probable non-functional immunoglobulin heavy variable 3-35,Median Value (nm),delta_time3_vs_time1,20,17,-0.25316661585093386,"[-0.63, 0.23]",0.2956671179186585,0.8776823328473645,False
Immunoglobulin kappa variable 1-5,Median Value (nm),delta_time3_vs_time1,20,17,-0.031166791819229153,"[-0.48, 0.43]",0.8992094828038011,0.986431991854413,False
Band 3 anion transport protein,Median Value (nm),delta_time3_vs_time1,20,17,0.294974666419415,"[-0.18, 0.66]",0.22020503362446303,0.8259920006894336,False
Immunoglobulin lambda variable 7-43,Median Value (nm),delta_time3_vs_time1,20,17,-0.40849219491267924,"[-0.73, 0.06]",0.08249664855274522,0.7990209843716011,False
Peroxiredoxin-1,Median Value (nm),delta_time3_vs_time1,20,17,0.0235096308907714,"[-0.44, 0.47]",0.9238924993380295,0.989816576333194,False
Matrix metalloproteinase-9,Median Value (nm),delta_time3_vs_time1,20,17,0.16434665117782238,"[-0.31, 0.58]",0.5013727501982455,0.9275395878667541,False
Multimerin-2,Median Value (nm),delta_time3_vs_time1,20,17,0.5049972601142642,"[0.07, 0.78]",0.02743158972853852,0.7990209843716011,False
Immunoglobulin heavy variable 1-3,Median Value (nm),delta_time3_vs_time1,20,17,-0.12393864304705775,"[-0.55, 0.35]",0.6131962210262993,0.9495106715392508,False
Podocalyxin,Median Value (nm),delta_time3_vs_time1,20,17,-0.3073793672450144,"[-0.67, 0.17]",0.20049632551359725,0.8145654636552422,False
Immunoglobulin lambda variable 1-51,Median Value (nm),delta_time3_vs_time1,20,17,-0.374404793228673,"[-0.71, 0.10]",0.11427358116784075,0.7990209843716011,False
Cadherin-13,Median Value (nm),delta_time3_vs_time1,20,17,-0.13892042256139667,"[-0.56, 0.34]",0.5705832956699983,0.9414294875902138,False
Plastin-2,Median Value (nm),delta_time3_vs_time1,20,17,0.08265908346880294,"[-0.39, 0.52]",0.7365553796813327,0.98225487544268,False
Inter-alpha-trypsin inhibitor heavy chain H4,Median Value (nm),delta_time3_vs_time1,20,17,0.47311914733009497,"[0.02, 0.76]",0.04076724727416774,0.7990209843716011,False
Fructose-bisphosphate aldolase B,Median Value (nm),delta_time3_vs_time1,20,17,0.04648188114120228,"[-0.42, 0.49]",0.8501271558807997,0.986431991854413,False
Mannan-binding lectin serine protease 2,Median Value (nm),delta_time3_vs_time1,20,17,-0.3155663325235172,"[-0.67, 0.16]",0.18815063872214424,0.8041153468550455,False
Platelet glycoprotein 4,Median Value (nm),delta_time3_vs_time1,20,17,-0.49156809136058777,"[-0.77, -0.05]",0.03255361208834518,0.7990209843716011,False
Hemoglobin subunit alpha,Median Value (nm),delta_time3_vs_time1,20,17,0.2151632558756667,"[-0.26, 0.61]",0.376356216123109,0.9030094064303772,False
Immunoglobulin lambda variable 3-10,Median Value (nm),delta_time3_vs_time1,20,17,0.19471785889326426,"[-0.28, 0.60]",0.424392044910905,0.9149023054699762,False
Serum paraoxonase/lactonase 3,Median Value (nm),delta_time3_vs_time1,20,17,-0.050344143550762326,"[-0.49, 0.41]",0.8378251457952757,0.986431991854413,False
Dopamine beta-hydroxylase,Median Value (nm),delta_time3_vs_time1,20,17,-0.1555451594806622,"[-0.57, 0.32]",0.5248642635485526,0.9354607701894984,False
Triosephosphate isomerase,Median Value (nm),delta_time3_vs_time1,20,17,-0.2894599562367226,"[-0.66, 0.19]",0.22935822013808604,0.8273299512360355,False
Endoplasmic reticulum chaperone BiP,Median Value (nm),delta_time3_vs_time1,20,17,0.11658494580689273,"[-0.36, 0.54]",0.6345671074069189,0.9603557517202558,False
Suprabasin,Median Value (nm),delta_time3_vs_time1,20,17,-0.3458900244555552,"[-0.69, 0.13]",0.14690103573478616,0.7990209843716011,False
Immunoglobulin kappa variable 3-20,Median Value (nm),delta_time3_vs_time1,20,17,-0.10243482030978958,"[-0.53, 0.37]",0.6764655194939596,0.9655217748583295,False
Ficolin-1,Median Value (nm),delta_time3_vs_time1,20,17,0.11153068515052489,"[-0.36, 0.54]",0.6494189949819164,0.9603557517202558,False
Autotaxin,Median Value (nm),delta_time3_vs_time1,20,17,0.11422629083392051,"[-0.36, 0.54]",0.6414817891244307,0.9603557517202558,False
Histidine ammonia-lyase,Median Value (nm),delta_time3_vs_time1,20,17,-0.38023733896184875,"[-0.71, 0.09]",0.10829776330879129,0.7990209843716011,False
Noelin,Median Value (nm),delta_time3_vs_time1,20,17,-0.16259100403549603,"[-0.57, 0.31]",0.5060178472808127,0.9283020552158604,False
Prenylcysteine oxidase 1,Median Value (nm),delta_time3_vs_time1,20,17,0.22373527172189828,"[-0.26, 0.62]",0.35716538201290327,0.9029774864553766,False
Immunoglobulin delta heavy chain,Median Value (nm),delta_time3_vs_time1,20,17,-0.13769926664594653,"[-0.56, 0.34]",0.5740081293796513,0.9414294875902138,False
Antithrombin-III,Median Value (nm),delta_time3_vs_time1,20,17,0.1671070540094847,"[-0.31, 0.58]",0.4941110114775302,0.9224230187144302,False
Complement component C7,Median Value (nm),delta_time3_vs_time1,20,17,0.07111402583500091,"[-0.40, 0.51]",0.7723511544370265,0.986431991854413,False
BOS complex subunit NOMO3;BOS complex subunit NOMO1;BOS complex subunit NOMO2,Median Value (nm),delta_time3_vs_time1,20,17,-0.5008760635174955,"[-0.78, -0.06]",0.02893116721046349,0.7990209843716011,False
Cofilin-1,Median Value (nm),delta_time3_vs_time1,20,17,-0.3056252015800285,"[-0.67, 0.17]",0.2032097422249779,0.8158145059622299,False
Histone H4,Median Value (nm),delta_time3_vs_time1,20,17,0.10117201433541576,"[-0.37, 0.53]",0.6802515499865573,0.9655217748583295,False
Serum amyloid A-1 protein,Median Value (nm),delta_time3_vs_time1,20,17,0.09910475954695562,"[-0.37, 0.53]",0.6864652077489057,0.9681914766355224,False
Transferrin receptor protein 1,Median Value (nm),delta_time3_vs_time1,20,17,0.2993982771663983,"[-0.18, 0.66]",0.21303734967973598,0.8217152190523659,False
Serpin B12,Median Value (nm),delta_time3_vs_time1,20,17,-0.20593452323076403,"[-0.60, 0.27]",0.39764842759004027,0.91321416536035,False
Immunoglobulin kappa variable 3D-20,Median Value (nm),delta_time3_vs_time1,20,17,-0.013594026219025593,"[-0.46, 0.44]",0.9559517159680373,0.9942380848352581,False
Probable non-functional immunoglobulin heavy variable 3-16,Median Value (nm),delta_time3_vs_time1,20,17,-0.5388008242234847,"[-0.80, -0.11]",0.01729996479404067,0.7990209843716011,False
Immunoglobulin lambda variable 6-57,Median Value (nm),delta_time3_vs_time1,20,17,0.0033201343672286214,"[-0.45, 0.46]",0.9892372017726543,0.9969108795458534,False
Fibrinogen alpha chain,Median Value (nm),delta_time3_vs_time1,20,17,0.200871180535209,"[-0.28, 0.60]",0.40960451330073244,0.9149023054699762,False
Galectin-3-binding protein,Median Value (nm),delta_time3_vs_time1,20,17,-0.17487965654475354,"[-0.58, 0.30]",0.47394216753353213,0.9224230187144302,False
Macrophage colony-stimulating factor 1 receptor,Median Value (nm),delta_time3_vs_time1,20,17,0.09468314962929726,"[-0.38, 0.53]",0.6998198629101489,0.9683709539856988,False
Phosphatidylinositol-glycan-specific phospholipase D,Median Value (nm),delta_time3_vs_time1,20,17,0.4512141223431951,"[-0.00, 0.75]",0.052491324910787215,0.7990209843716011,False
Serotransferrin,Median Value (nm),delta_time3_vs_time1,20,17,0.2196726791116257,"[-0.26, 0.61]",0.3661896966692023,0.9029774864553766,False
Integrin alpha-11,Median Value (nm),delta_time3_vs_time1,20,17,-0.21688264978719846,"[-0.61, 0.26]",0.37246132800029186,0.9029774864553766,False
Proprotein convertase subtilisin/kexin type 9,Median Value (nm),delta_time3_vs_time1,20,17,-0.1553782364448084,"[-0.57, 0.32]",0.525314675141378,0.9354607701894984,False
Gelsolin,Median Value (nm),delta_time3_vs_time1,20,17,0.19815260322221584,"[-0.28, 0.60]",0.41610308701784005,0.9149023054699762,False
Proteoglycan 4,Median Value (nm),delta_time3_vs_time1,20,17,-0.03691506794604001,"[-0.48, 0.42]",0.8807366418093675,0.986431991854413,False
Vascular cell adhesion protein 1,Median Value (nm),delta_time3_vs_time1,20,17,0.4710661654462844,"[0.02, 0.76]",0.04177155548242296,0.7990209843716011,False
Adhesion G protein-coupled receptor F5,Median Value (nm),delta_time3_vs_time1,20,17,-0.043986014670648624,"[-0.49, 0.42]",0.8580947970959517,0.986431991854413,False
Insulin-like growth factor-binding protein 3,Median Value (nm),delta_time3_vs_time1,20,17,0.006318795414187187,"[-0.45, 0.46]",0.9795179957551289,0.9942380848352581,False
Transthyretin,Median Value (nm),delta_time3_vs_time1,20,17,0.22745126795735374,"[-0.25, 0.62]",0.349023557801005,0.9029774864553766,False
Coiled-coil domain-containing protein 126,Median Value (nm),delta_time3_vs_time1,20,17,0.3188911658405214,"[-0.16, 0.68]",0.18328571423302653,0.8011983120059726,False
Guanine nucleotide-binding protein G(i) subunit alpha-2,Median Value (nm),delta_time3_vs_time1,20,17,0.09726948622201208,"[-0.37, 0.53]",0.6919977825916788,0.9681914766355224,False
Apolipoprotein C-I,Median Value (nm),delta_time3_vs_time1,20,17,0.2620554633385712,"[-0.22, 0.64]",0.278450055149553,0.8638290868378945,False
Syntenin-1,Median Value (nm),delta_time3_vs_time1,20,17,-0.27371927394255285,"[-0.65, 0.21]",0.2568198081509678,0.8487477293020979,False
Phospholipid transfer protein,Median Value (nm),delta_time3_vs_time1,20,17,0.043660743082860935,"[-0.42, 0.49]",0.8591341574864346,0.986431991854413,False
Laminin subunit beta-1,Median Value (nm),delta_time3_vs_time1,20,17,0.15685984510643292,"[-0.32, 0.57]",0.5213231151062399,0.9354607701894984,False
Proline-rich protein 4,Median Value (nm),delta_time3_vs_time1,20,17,-0.09240152510204125,"[-0.52, 0.38]",0.7067445135769744,0.9683709539856988,False
Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,Median Value (nm),delta_time3_vs_time1,20,17,0.1822753789760971,"[-0.30, 0.59]",0.4551408244825357,0.9224230187144302,False
