TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Cytokine,p_value_FDR,Significant_FDR
X1hr,.,Female - Male,-0.46622080531575916,0.4781353372365699,18.0,-0.9750812563035562,0.3424430796089907,Between-Group,TNF-a,0.5694977302192997,False
X2hrs,.,Female - Male,-0.4719701691052346,0.569006682622078,18.0,-0.8294633147897615,0.4177071402289888,Between-Group,TNF-a,0.6235338303331527,False
.,Female,X3min - X1hr,0.06860039031368259,0.07760503818266394,18.0,0.883968256702786,0.38836817595736994,Within-Group,TNF-a,0.6063299073620164,False
.,Female,X3min - X2hrs,-0.02417072090754857,0.06373181347574182,18.0,-0.3792567571727525,0.708934166576862,Within-Group,TNF-a,0.8473978709864054,False
.,Female,X1hr - X2hrs,-0.09277111122123116,0.08030887080389094,18.0,-1.1551788774090996,0.2631222948190186,Within-Group,TNF-a,0.5049245216774422,False
.,Male,X3min - X1hr,0.15458221246753123,0.07760503818266394,18.0,1.9919094956654901,0.06177425229838643,Within-Group,TNF-a,0.20109490641815156,False
.,Male,X3min - X2hrs,0.056061737456824634,0.06373181347574182,18.0,0.8796507489648535,0.3906414668251543,Within-Group,TNF-a,0.6067831921243514,False
.,Male,X1hr - X2hrs,-0.0985204750107066,0.08030887080389094,18.0,-1.2267695215300338,0.23571457418017752,Within-Group,TNF-a,0.49425179373248146,False
X3min,.,Female - Male,-13.779159150493232,7.637802438096255,18.0,-1.8040737845960477,0.08798118595453093,Between-Group,MCP-4,0.24699305414758224,False
X1hr,.,Female - Male,-12.992893214279668,3.3057430269181056,18.0,-3.9304002484405896,0.000980682256423068,Between-Group,MCP-4,0.015794145813971514,True
X2hrs,.,Female - Male,-9.704567999262407,4.3577059300395184,18.0,-2.2269901078833008,0.03895141410029942,Between-Group,MCP-4,0.16106936100934624,False
.,Female,X3min - X1hr,7.574239105728791,4.363562249272032,18.0,1.7357926100383678,0.09968684933406392,Within-Group,MCP-4,0.2748123954614735,False
.,Female,X3min - X2hrs,8.587999837923558,4.497985742817791,18.0,1.909299034937259,0.07229546755840838,Within-Group,MCP-4,0.2190337928007224,False
.,Female,X1hr - X2hrs,1.0137607321947675,2.5126462993945626,18.0,0.40346336547210776,0.6913598662217373,Within-Group,MCP-4,0.8328981065505968,False
.,Male,X3min - X1hr,8.360505041942355,4.363562249272032,18.0,1.9159816141816535,0.07138861868127534,Within-Group,MCP-4,0.21844917316470255,False
.,Male,X3min - X2hrs,12.662590989154385,4.497985742817791,18.0,2.8151692142140554,0.011457918927016248,Within-Group,MCP-4,0.06874751356209749,False
.,Male,X1hr - X2hrs,4.302085947212029,2.512646299394563,18.0,1.7121733163353081,0.10403879463703682,Within-Group,MCP-4,0.28424884963333275,False
X3min,.,Female - Male,-1892.686638894412,418.22651221661926,18.0,-4.525506115963544,0.0002618524298681998,Between-Group,Tie-2,0.011337713420037853,True
X1hr,.,Female - Male,-1229.4830631082932,276.1295184580363,18.0,-4.4525593278617155,0.0003075758760422578,Between-Group,Tie-2,0.011337713420037853,True
X2hrs,.,Female - Male,-1164.1615188275725,315.28766342543685,18.0,-3.692378909404706,0.0016667092402108544,Between-Group,Tie-2,0.021352539255566905,True
.,Female,X3min - X1hr,593.8634629642014,317.3989524901448,18.0,1.871031578097728,0.07768796518239691,Within-Group,Tie-2,0.23080113927974227,False
.,Female,X3min - X2hrs,723.4288319870873,321.33931526217617,18.0,2.251292629402823,0.0370987272493461,Within-Group,Tie-2,0.15766959080972093,False
.,Female,X1hr - X2hrs,129.56536902288587,183.6711648723318,18.0,0.7054203043408889,0.48957788838504035,Within-Group,Tie-2,0.6872056598432218,False
.,Male,X3min - X1hr,1257.06703875032,317.3989524901448,18.0,3.9605267405202036,0.0009170173760426312,Within-Group,Tie-2,0.015794145813971514,True
.,Male,X3min - X2hrs,1451.9539520539267,321.33931526217617,18.0,4.51844478124097,0.0002659597887206546,Within-Group,Tie-2,0.011337713420037853,True
