Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Aminopeptidase N,Leuk,delta_time2_vs_time1,20,17,-0.257202813182776,"[-0.64, 0.22]",0.2877707909884412,0.9910959233646371,False
Apolipoprotein M,Leuk,delta_time2_vs_time1,20,17,0.1519914112434292,"[-0.32, 0.57]",0.5344920171538265,0.9910959233646371,False
Immunoglobulin heavy variable 3-43,Leuk,delta_time2_vs_time1,20,17,-0.0826294666499132,"[-0.52, 0.39]",0.7366465800535895,0.9932510442843305,False
Cysteine-rich secretory protein 3,Leuk,delta_time2_vs_time1,20,17,0.3219318386234637,"[-0.15, 0.68]",0.17891132478280578,0.9910959233646371,False
Complement component C8 alpha chain,Leuk,delta_time2_vs_time1,20,17,0.028351835801056356,"[-0.43, 0.48]",0.9082744257659364,0.9956568424398202,False
Immunoglobulin heavy variable 2-70D,Leuk,delta_time2_vs_time1,20,17,0.1091144673027623,"[-0.36, 0.54]",0.6565644403300164,0.9932510442843305,False
Immunoglobulin heavy variable 3-23,Leuk,delta_time2_vs_time1,20,17,0.16487777997614847,"[-0.31, 0.58]",0.4999715432960151,0.9910959233646371,False
Plasma kallikrein,Leuk,delta_time2_vs_time1,20,17,0.015416875070387385,"[-0.44, 0.47]",0.9500517996641122,0.9987956535135862,False
Galectin-7,Leuk,delta_time2_vs_time1,20,17,0.0037657071463016874,"[-0.45, 0.46]",0.9877928957634141,0.9987956535135862,False
Extracellular superoxide dismutase [Cu-Zn],Leuk,delta_time2_vs_time1,20,17,-0.08959999174495709,"[-0.52, 0.38]",0.7152772767076989,0.9932510442843305,False
Immunoglobulin heavy variable 1-8,Leuk,delta_time2_vs_time1,20,17,0.21756537795009004,"[-0.26, 0.61]",0.3709210847294686,0.9910959233646371,False
Cystatin-C,Leuk,delta_time2_vs_time1,20,17,0.15931807412022087,"[-0.32, 0.57]",0.5147319275398309,0.9910959233646371,False
Immunoglobulin lambda-like polypeptide 1,Leuk,delta_time2_vs_time1,20,17,-0.03594309073079744,"[-0.48, 0.43]",0.883856335098967,0.993344894111276,False
Inhibin beta C chain,Leuk,delta_time2_vs_time1,20,17,0.03561262047586443,"[-0.43, 0.48]",0.8849173995783057,0.9934805019392674,False
Mannose-binding protein C,Leuk,delta_time2_vs_time1,20,17,0.09308889013007396,"[-0.38, 0.53]",0.7046560342291892,0.9932510442843305,False
IgGFc-binding protein,Leuk,delta_time2_vs_time1,20,17,-0.10399757890938824,"[-0.53, 0.37]",0.6717904753653079,0.9932510442843305,False
Macrophage mannose receptor 1,Leuk,delta_time2_vs_time1,20,17,0.15158940875404509,"[-0.32, 0.57]",0.5355861876302124,0.9910959233646371,False
Aromatase,Leuk,delta_time2_vs_time1,20,17,-0.2638938609499248,"[-0.64, 0.22]",0.27496829506176734,0.9910959233646371,False
Cadherin-5,Leuk,delta_time2_vs_time1,20,17,-0.14766264858469702,"[-0.56, 0.33]",0.5463276145367618,0.9910959233646371,False
Immunoglobulin kappa variable 1-8,Leuk,delta_time2_vs_time1,20,17,0.06940867298459864,"[-0.40, 0.51]",0.7776780658245176,0.9932510442843305,False
Retinol-binding protein 4,Leuk,delta_time2_vs_time1,20,17,0.19853159529417266,"[-0.28, 0.60]",0.4151938317665397,0.9910959233646371,False
Complement component C8 beta chain,Leuk,delta_time2_vs_time1,20,17,-0.03469120363215341,"[-0.48, 0.43]",0.8878768437087872,0.9934805019392674,False
Tumor necrosis factor receptor superfamily member 1B,Leuk,delta_time2_vs_time1,20,17,-0.13196042502886943,"[-0.55, 0.34]",0.5902202908104697,0.9932510442843305,False
Formin-2,Leuk,delta_time2_vs_time1,20,17,-0.38944418118276103,"[-0.72, 0.08]",0.09932695337215207,0.9910959233646371,False
Scavenger receptor cysteine-rich domain-containing protein DMBT1,Leuk,delta_time2_vs_time1,20,17,0.24202574482486294,"[-0.24, 0.63]",0.3181386634768735,0.9910959233646371,False
Apolipoprotein L1,Leuk,delta_time2_vs_time1,20,17,0.05119732089323304,"[-0.41, 0.49]",0.8351123707037792,0.9932510442843305,False
Leucine-rich alpha-2-glycoprotein,Leuk,delta_time2_vs_time1,20,17,0.11454183341864257,"[-0.36, 0.54]",0.6405550834300036,0.9932510442843305,False
Immunoglobulin heavy variable 1-2,Leuk,delta_time2_vs_time1,20,17,0.1785556290825713,"[-0.30, 0.59]",0.4645490530033961,0.9910959233646371,False
Ras-related protein Rab-10,Leuk,delta_time2_vs_time1,20,17,0.06884693109117729,"[-0.40, 0.51]",0.7794348396859432,0.9932510442843305,False
Immunoglobulin heavy variable 1-24,Leuk,delta_time2_vs_time1,20,17,0.002504717420480839,"[-0.45, 0.46]",0.9918804224975375,0.9987956535135862,False
Annexin A3,Leuk,delta_time2_vs_time1,20,17,-0.22857316140061326,"[-0.62, 0.25]",0.3465866933138424,0.9910959233646371,False
Hemoglobin subunit beta,Leuk,delta_time2_vs_time1,20,17,-0.11627055118743568,"[-0.54, 0.36]",0.635487136941518,0.9932510442843305,False
Immunoglobulin lambda variable 4-69,Leuk,delta_time2_vs_time1,20,17,-0.2502448488519711,"[-0.63, 0.23]",0.30146456420358697,0.9910959233646371,False
Elongation factor 2,Leuk,delta_time2_vs_time1,20,17,-0.15363492784231395,"[-0.57, 0.32]",0.5300293856935072,0.9910959233646371,False
Multiple inositol polyphosphate phosphatase 1,Leuk,delta_time2_vs_time1,20,17,0.1661730343355058,"[-0.31, 0.58]",0.4965623804396335,0.9910959233646371,False
Collagen alpha-1(VI) chain,Leuk,delta_time2_vs_time1,20,17,0.12911607606317982,"[-0.35, 0.55]",0.5983258077014043,0.9932510442843305,False
Hepatocyte growth factor activator,Leuk,delta_time2_vs_time1,20,17,0.260104231414044,"[-0.22, 0.64]",0.28217518204227554,0.9910959233646371,False
Fibrinogen beta chain,Leuk,delta_time2_vs_time1,20,17,-0.26281711006527886,"[-0.64, 0.22]",0.2770042736448999,0.9910959233646371,False
Hemicentin-1,Leuk,delta_time2_vs_time1,20,17,-0.2697791004990028,"[-0.64, 0.21]",0.26400461939810344,0.9910959233646371,False
C-type mannose receptor 2,Leuk,delta_time2_vs_time1,20,17,-0.04320410258248794,"[-0.49, 0.42]",0.8605936630609802,0.9932510442843305,False
Platelet glycoprotein Ib beta chain,Leuk,delta_time2_vs_time1,20,17,0.08914444563303679,"[-0.38, 0.52]",0.716667846318791,0.9932510442843305,False
Complement C2,Leuk,delta_time2_vs_time1,20,17,0.15818478435176855,"[-0.32, 0.57]",0.5177656923100405,0.9910959233646371,False
Annexin A2,Leuk,delta_time2_vs_time1,20,17,-0.21676496152796695,"[-0.61, 0.26]",0.372727197465188,0.9910959233646371,False
Protein disulfide-isomerase A3,Leuk,delta_time2_vs_time1,20,17,0.15708580538668954,"[-0.32, 0.57]",0.5207156111691584,0.9910959233646371,False
Dipeptidyl peptidase 4,Leuk,delta_time2_vs_time1,20,17,-0.18094750105940843,"[-0.59, 0.30]",0.4584881361894294,0.9910959233646371,False
Proteasome subunit alpha type-4,Leuk,delta_time2_vs_time1,20,17,-0.33769263937934957,"[-0.69, 0.14]",0.1573683688918159,0.9910959233646371,False
Coagulation factor XI,Leuk,delta_time2_vs_time1,20,17,-0.0829050322662667,"[-0.52, 0.39]",0.7357981491131873,0.9932510442843305,False
Collectin-11,Leuk,delta_time2_vs_time1,20,17,0.37472222721851856,"[-0.10, 0.71]",0.11394241560577237,0.9910959233646371,False
High mobility group protein B1,Leuk,delta_time2_vs_time1,20,17,-0.45622554714595726,"[-0.75, -0.00]",0.04960739846970172,0.9910959233646371,False
Immunoglobulin lambda variable 3-16,Leuk,delta_time2_vs_time1,20,17,0.04524486027936845,"[-0.42, 0.49]",0.8540744504620246,0.9932510442843305,False
Prothrombin,Leuk,delta_time2_vs_time1,20,17,0.20535058472855586,"[-0.27, 0.60]",0.3990174407422735,0.9910959233646371,False
Immunoglobulin kappa joining 1,Leuk,delta_time2_vs_time1,20,17,0.1180319045579042,"[-0.36, 0.54]",0.6303394226337766,0.9932510442843305,False
Immunoglobulin heavy variable 3-7,Leuk,delta_time2_vs_time1,20,17,-0.03718787309376894,"[-0.48, 0.42]",0.8798613367426036,0.9933404739408935,False
Immunoglobulin heavy variable 3-74,Leuk,delta_time2_vs_time1,20,17,0.24199504282561926,"[-0.24, 0.63]",0.31820195736409196,0.9910959233646371,False
Ezrin,Leuk,delta_time2_vs_time1,20,17,0.1263279678630035,"[-0.35, 0.55]",0.6063152546895239,0.9932510442843305,False
Intercellular adhesion molecule 2,Leuk,delta_time2_vs_time1,20,17,-0.32294289628204986,"[-0.68, 0.15]",0.1774725534347264,0.9910959233646371,False
Lysozyme C,Leuk,delta_time2_vs_time1,20,17,-0.1749164107048234,"[-0.58, 0.30]",0.47384778394144245,0.9910959233646371,False
Protein AMBP,Leuk,delta_time2_vs_time1,20,17,0.08100540276821627,"[-0.39, 0.52]",0.7416527615929425,0.9932510442843305,False
Prolyl endopeptidase FAP,Leuk,delta_time2_vs_time1,20,17,0.038493660622759454,"[-0.42, 0.48]",0.8756735346277482,0.9933404739408935,False
"Actin, cytoplasmic 2",Leuk,delta_time2_vs_time1,20,17,-0.11202978760246954,"[-0.54, 0.36]",0.6479466264840037,0.9932510442843305,False
Kallistatin,Leuk,delta_time2_vs_time1,20,17,0.23728242759944362,"[-0.24, 0.62]",0.32800600874832164,0.9910959233646371,False
Hemopexin,Leuk,delta_time2_vs_time1,20,17,0.10173744572057722,"[-0.37, 0.53]",0.6785554128943455,0.9932510442843305,False
C4b-binding protein beta chain,Leuk,delta_time2_vs_time1,20,17,0.1673083788691636,"[-0.31, 0.58]",0.49358339879872715,0.9910959233646371,False
Peptidyl-prolyl cis-trans isomerase A,Leuk,delta_time2_vs_time1,20,17,0.1619376794638581,"[-0.32, 0.57]",0.5077516504315849,0.9910959233646371,False
Complement C1r subcomponent-like protein,Leuk,delta_time2_vs_time1,20,17,-0.2963263631583098,"[-0.66, 0.18]",0.21799839377471864,0.9910959233646371,False
Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-5,Leuk,delta_time2_vs_time1,20,17,0.09682070470823745,"[-0.37, 0.53]",0.6933529578947041,0.9932510442843305,False
Immunoglobulin lambda variable 3-9,Leuk,delta_time2_vs_time1,20,17,0.05264765318737092,"[-0.41, 0.50]",0.8305049766304016,0.9932510442843305,False
Immunoglobulin heavy variable 1-45,Leuk,delta_time2_vs_time1,20,17,-0.005798501974198444,"[-0.46, 0.45]",0.9812042001549803,0.9987956535135862,False
Hemoglobin subunit gamma-1,Leuk,delta_time2_vs_time1,20,17,-0.15650056528666081,"[-0.57, 0.32]",0.5222897362487284,0.9910959233646371,False
